,peninsular
2025-01-01 00:00:00,0.4555666268748517
2025-01-01 01:00:00,0.4666317956734873
2025-01-01 02:00:00,0.4478011945934343
2025-01-01 03:00:00,0.4561346963687176
2025-01-01 04:00:00,0.4480954058027805
2025-01-01 05:00:00,0.4502913895808354
2025-01-01 06:00:00,0.4507361429109217
2025-01-01 07:00:00,0.4589254128261892
2025-01-01 08:00:00,0.4556513761208883
2025-01-01 09:00:00,0.4499648894612114
2025-01-01 10:00:00,0.4538631159120679
2025-01-01 11:00:00,0.4573479854046673
2025-01-01 12:00:00,0.4623241678881364
2025-01-01 13:00:00,0.4438593471071493
2025-01-01 14:00:00,0.4585082489475212
2025-01-01 15:00:00,0.4601156962076319
2025-01-01 16:00:00,0.4445438520083452
2025-01-01 17:00:00,0.4556739604707281
2025-01-01 18:00:00,0.4618975183817558
2025-01-01 19:00:00,0.4486501964939628
2025-01-01 20:00:00,0.4537652554213144
2025-01-01 21:00:00,0.4581336810634164
2025-01-01 22:00:00,0.4689083066113826
2025-01-01 23:00:00,0.4436159717242439
2025-01-02 00:00:00,0.6564260150306782
2025-01-02 01:00:00,0.6483515363092865
2025-01-02 02:00:00,0.647868871362735
2025-01-02 03:00:00,0.6520960272187121
2025-01-02 04:00:00,0.6599250848127216
2025-01-02 05:00:00,0.6541301372184336
2025-01-02 06:00:00,0.6443820264669938
2025-01-02 07:00:00,0.6460682653308989
2025-01-02 08:00:00,0.6384212670870012
2025-01-02 09:00:00,0.6525476565640332
2025-01-02 10:00:00,0.6404438616296695
2025-01-02 11:00:00,0.6327901622037146
2025-01-02 12:00:00,0.6412765693007874
2025-01-02 13:00:00,0.6607152026542029
2025-01-02 14:00:00,0.6424085251838038
2025-01-02 15:00:00,0.6436324883568262
2025-01-02 16:00:00,0.6423719564400148
2025-01-02 17:00:00,0.6452264504125526
2025-01-02 18:00:00,0.6362095627523505
2025-01-02 19:00:00,0.6475496075415248
2025-01-02 20:00:00,0.6497433786024688
2025-01-02 21:00:00,0.6427153437816641
2025-01-02 22:00:00,0.650758339431048
2025-01-02 23:00:00,0.6500220303730145
2025-01-03 00:00:00,0.4752017216468653
2025-01-03 01:00:00,0.4734488248686191
2025-01-03 02:00:00,0.4834469896913837
2025-01-03 03:00:00,0.4726367055363114
2025-01-03 04:00:00,0.4790754082386902
2025-01-03 05:00:00,0.4774534120722719
2025-01-03 06:00:00,0.4701223613830979
2025-01-03 07:00:00,0.490923268696722
2025-01-03 08:00:00,0.4730595347438132
2025-01-03 09:00:00,0.4817645428516607
2025-01-03 10:00:00,0.4779287298049058
2025-01-03 11:00:00,0.476527728356286
2025-01-03 12:00:00,0.4808999639665026
2025-01-03 13:00:00,0.466235989263836
2025-01-03 14:00:00,0.4852700548507738
2025-01-03 15:00:00,0.4767839821875638
2025-01-03 16:00:00,0.4704257502109401
2025-01-03 17:00:00,0.4832873427050054
2025-01-03 18:00:00,0.4823636364591786
2025-01-03 19:00:00,0.4816214992409184
2025-01-03 20:00:00,0.467503006868616
2025-01-03 21:00:00,0.4781008125838154
2025-01-03 22:00:00,0.4820923417155851
2025-01-03 23:00:00,0.4678253912622384
2025-01-04 00:00:00,0.6726843840559683
2025-01-04 01:00:00,0.6287493292969085
2025-01-04 02:00:00,0.6358088655239351
2025-01-04 03:00:00,0.6416385704992633
2025-01-04 04:00:00,0.7094094415638141
2025-01-04 05:00:00,0.6479086959486648
2025-01-04 06:00:00,0.6410014544634962
2025-01-04 07:00:00,0.6674731881994044
2025-01-04 08:00:00,0.6360575227673567
